link,type,file,year,month,total_principal_funds
sf.citidirect.com/stfin/docs/87304/CertStmtCMLT06AMC11212.pdf,chs,CertStmtCMLT06AMC11212.pdf,12,12,435068.08
sf.citidirect.com/stfin/docs/62940/CertStmtCMLT06AMC11101.pdf,chs,CertStmtCMLT06AMC11101.pdf,11,01,918310.47
sf.citidirect.com/stfin/docs/63939/CertStmtCMLT06AMC11102.pdf,chs,CertStmtCMLT06AMC11102.pdf,11,02,1212907.42
sf.citidirect.com/stfin/docs/64807/CertStmtCMLT06AMC11103.pdf,chs,CertStmtCMLT06AMC11103.pdf,11,03,899103.97
sf.citidirect.com/stfin/docs/65716/CertStmtCMLT06AMC11104.pdf,chs,CertStmtCMLT06AMC11104.pdf,11,04,1684394.32
sf.citidirect.com/stfin/docs/67082/CertStmtCMLT06AMC11105.pdf,chs,CertStmtCMLT06AMC11105.pdf,11,05,2225377.41
sf.citidirect.com/stfin/docs/68044/CertStmtCMLT06AMC11106.pdf,chs,CertStmtCMLT06AMC11106.pdf,11,06,903856.72
sf.citidirect.com/stfin/docs/69013/CertStmtCMLT06AMC11107.pdf,chs,CertStmtCMLT06AMC11107.pdf,11,07,1073827.46
sf.citidirect.com/stfin/docs/70108/CertStmtCMLT06AMC11108.pdf,chs,CertStmtCMLT06AMC11108.pdf,11,08,1673616.46
sf.citidirect.com/stfin/docs/70956/CertStmtCMLT06AMC11109.pdf,chs,CertStmtCMLT06AMC11109.pdf,11,09,1198196.16
sf.citidirect.com/stfin/docs/71921/CertStmtCMLT06AMC11110.pdf,chs,CertStmtCMLT06AMC11110.pdf,11,10,1151080.21
sf.citidirect.com/stfin/docs/73182/CertStmtCMLT06AMC11111.pdf,chs,CertStmtCMLT06AMC11111.pdf,11,11,1857610.46
sf.citidirect.com/stfin/docs/74205/CertStmtCMLT06AMC11112.pdf,chs,CertStmtCMLT06AMC11112.pdf,11,12,1229383.43
sf.citidirect.com/stfin/docs/51700/CertStmtCMLT06AMC11001.pdf,chs,CertStmtCMLT06AMC11001.pdf,10,01,3366054.91
sf.citidirect.com/stfin/docs/52549/CertStmtCMLT06AMC11002.pdf,chs,CertStmtCMLT06AMC11002.pdf,10,02,3427917.1
sf.citidirect.com/stfin/docs/53587/CertStmtCMLT06AMC11003.pdf,chs,CertStmtCMLT06AMC11003.pdf,10,03,36910.47
sf.citidirect.com/stfin/docs/54424/CertStmtCMLT06AMC11004.pdf,chs,CertStmtCMLT06AMC11004.pdf,10,04,1251703.2
sf.citidirect.com/stfin/docs/55372/CertStmtCMLT06AMC11005.pdf,chs,CertStmtCMLT06AMC11005.pdf,10,05,1910007.57
sf.citidirect.com/stfin/docs/56448/CertStmtCMLT06AMC11006.pdf,chs,CertStmtCMLT06AMC11006.pdf,10,06,1677395.66
sf.citidirect.com/stfin/docs/57352/CertStmtCMLT06AMC11007.pdf,chs,CertStmtCMLT06AMC11007.pdf,10,07,1491827.55
sf.citidirect.com/stfin/docs/58310/CertStmtCMLT06AMC11008.pdf,chs,CertStmtCMLT06AMC11008.pdf,10,08,1277387.07
sf.citidirect.com/stfin/docs/59179/CertStmtCMLT06AMC11009.pdf,chs,CertStmtCMLT06AMC11009.pdf,10,09,911783.48
sf.citidirect.com/stfin/docs/60077/CertStmtCMLT06AMC11010.pdf,chs,CertStmtCMLT06AMC11010.pdf,10,10,744503.82
sf.citidirect.com/stfin/docs/61038/CertStmtCMLT06AMC11011.pdf,chs,CertStmtCMLT06AMC11011.pdf,10,11,586775.15
sf.citidirect.com/stfin/docs/61867/CertStmtCMLT06AMC11012.pdf,chs,CertStmtCMLT06AMC11012.pdf,10,12,362317.79
sf.citidirect.com/stfin/docs/41111/CertStmtCMLT06AMC10901.pdf,chs,CertStmtCMLT06AMC10901.pdf,09,01,6471179.32
sf.citidirect.com/stfin/docs/41918/CertStmtCMLT06AMC10902.pdf,chs,CertStmtCMLT06AMC10902.pdf,09,02,8846781.37
sf.citidirect.com/stfin/docs/42802/CertStmtCMLT06AMC10903.pdf,chs,CertStmtCMLT06AMC10903.pdf,09,03,2793995.17
sf.citidirect.com/stfin/docs/43612/CertStmtCMLT06AMC10904.pdf,chs,CertStmtCMLT06AMC10904.pdf,09,04,6592494.23
sf.citidirect.com/stfin/docs/44189/CertStmtCMLT06AMC10905.pdf,chs,CertStmtCMLT06AMC10905.pdf,09,05,2286964.03
sf.citidirect.com/stfin/docs/45067/CertStmtCMLT06AMC10906.pdf,chs,CertStmtCMLT06AMC10906.pdf,09,06,5017216.18
sf.citidirect.com/stfin/docs/46331/CertStmtCMLT06AMC10907.pdf,chs,CertStmtCMLT06AMC10907.pdf,09,07,6798206.6
sf.citidirect.com/stfin/docs/47010/CertStmtCMLT06AMC10908.pdf,chs,CertStmtCMLT06AMC10908.pdf,09,08,5068906.2
sf.citidirect.com/stfin/docs/48021/CertStmtCMLT06AMC10909.pdf,chs,CertStmtCMLT06AMC10909.pdf,09,09,5789578.05
sf.citidirect.com/stfin/docs/48893/CertStmtCMLT06AMC10910.pdf,chs,CertStmtCMLT06AMC10910.pdf,09,10,6295900.6
sf.citidirect.com/stfin/docs/49755/CertStmtCMLT06AMC10911.pdf,chs,CertStmtCMLT06AMC10911.pdf,09,11,4557555.0
sf.citidirect.com/stfin/docs/50669/CertStmtCMLT06AMC10912.pdf,chs,CertStmtCMLT06AMC10912.pdf,09,12,3919558.03
sf.citidirect.com/stfin/docs/30631/CertStmtCMLT06AMC10801.pdf,chs,CertStmtCMLT06AMC10801.pdf,08,01,7986583.1
sf.citidirect.com/stfin/docs/31569/CertStmtCMLT06AMC10802.pdf,chs,CertStmtCMLT06AMC10802.pdf,08,02,6095204.34
sf.citidirect.com/stfin/docs/32213/CertStmtCMLT06AMC10803.pdf,chs,CertStmtCMLT06AMC10803.pdf,08,03,9314307.15
sf.citidirect.com/stfin/docs/33428/certstmtcmlt06amc10804.pdf,chs,certstmtcmlt06amc10804.pdf,08,04,8083963.91
sf.citidirect.com/stfin/docs/34285/CertStmtCMLT06AMC10805.pdf,chs,CertStmtCMLT06AMC10805.pdf,08,05,9251312.25
sf.citidirect.com/stfin/docs/35226/CertStmtCMLT06AMC10806.pdf,chs,CertStmtCMLT06AMC10806.pdf,08,06,8344596.42
sf.citidirect.com/stfin/docs/35687/CertStmtCMLT06AMC10807.pdf,chs,CertStmtCMLT06AMC10807.pdf,08,07,11497547.23
sf.citidirect.com/stfin/docs/36477/CertStmtCMLT06AMC10808.pdf,chs,CertStmtCMLT06AMC10808.pdf,08,08,12744506.64
sf.citidirect.com/stfin/docs/37720/CertStmtCMLT06AMC10809.pdf,chs,CertStmtCMLT06AMC10809.pdf,08,09,8944244.81
sf.citidirect.com/stfin/docs/38304/CertStmtCMLT06AMC10810.pdf,chs,CertStmtCMLT06AMC10810.pdf,08,10,10895739.9
